label,processed_post_text
1,2yeardiagnoseanxietydepressiontodaytakemomentreflectfarcome
1,Sundayneedbreakplanspendlittletimepossiblea14
1,awaketiredneedsleepbrainidea
1,RT@sewhqretrobearperfectgiftgreatbeginnerstitchOctoberSewsaleyayhttp://t.co/
1,hardpackinglistmakelifeeasierreinforceneedmovinghouseanxiety
1,makepackinglistnewhobbymovinghouse
1,pointkeepstuffnostalgicreasoncrosslineplainoldhoardingmovinghouse
1,currentlyfindingboxrandomshitpackingphasethinkclosethoarder
1,bothercookawayway😁👍🏼lazy
1,RT@itventsnewitvreleasepromovideofinalseriesDowntonAbbeyhttp://t.co/mC8Ive72zRhttp://t.co/CFBKrRvJIs
1,stuffwaywaymovinghouse
1,wantlotharderthanitlookhttp://t.co/70ujlTCKlB
1,movestuffbloominknackeringload😥
1,housemovestuffpeaceful❤️🏡😊
1,UrghAnxietyFFScomeBreathe
1,stuffwaywaymassivepurgeway
1,hideoustrafficA14rememberpaycloseattentiontrafficreport
1,packingpurgingfeelgood😊👍🏼
1,b&amp;qlookinternaldoorfuntime😉
1,timethingbusydayahead
1,6:20lielittlelongcatbuddy❓
1,likecocktailexhaustionaidgoodnight sleep
1,greatnightfavouriteladyneedpastdaylove💕
1,satsofaquickresthouragoneed
1,wantpizzaright
1,"love

PeterGabrieleyehttp://t.co/foaexmvoid"
1,busydayaheadneedfocusfeeledgederailmentright
1,smallthingmakeheartbreakfeellikegoaway
1,choosecurtainpolesuddenlyconfusingchoiceyesknowrealproblem
1,completehousegotkeyfabdaywhoop🏡🎉💕
1,RT@cphighwycombe@catsprotectionhiretweetlongstayerSammySukiphotographedtodaybuckscats.org.ukhttp
1,bigdaytoday🏡😁🎉
1,lovelyPandaStory https://t.co/ggavekymp7
1,RT@sewhqweatheroutsidefrightfulmakedelightfulsneakpeakOctoberissueprojecthttp://t.co
1,goodnewshttps://t.co/1s0l7zaqjr
1,headachetakenaphourwakebitconfusedtimeday😴
1,RT@deliciousmagbudget21recipe£1.50headcompromiseflavourhttp://t.co/0CGzPXJLrPhtt
1,RT@rspca_officialRT@ncolondon@rspca_officialRT80yrolddogownergetdistraughtlosedog😓http
